,AAPL,capital_used,ending_cash,ending_value,long_mavg,orders,period_close,period_open,pnl,portfolio_value,positions,returns,short_mavg,starting_cash,starting_value,transactions
2011-09-07 20:00:00,51.519724,0.0,99027.6010614,5151.9724,43.3437632667,[],2011-09-07 20:00:00+00:00,2011-09-07 13:31:00+00:00,56.2258,104179.573461,"[{'amount': 100, 'last_sale_price': 51.519724, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000539992242497,47.67927654,99027.6010614,5095.7466,[]
2011-09-08 20:00:00,51.547903,0.0,99027.6010614,5154.7903,43.4044441733,[],2011-09-08 20:00:00+00:00,2011-09-08 13:31:00+00:00,2.81789999999,104182.391361,"[{'amount': 100, 'last_sale_price': 51.547903000000005, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",2.70484885508e-05,47.75533565,99027.6010614,5151.9724,[]
2011-09-09 20:00:00,50.654193,0.0,99027.6010614,5065.4193,43.4628348833,[],2011-09-09 20:00:00+00:00,2011-09-09 13:31:00+00:00,-89.371,104093.020361,"[{'amount': 100, 'last_sale_price': 50.654193, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.000857832104179,47.81656673,99027.6010614,5154.7903,[]
2011-09-12 20:00:00,50.984305,0.0,99027.6010614,5098.4305,43.52157003,[],2011-09-12 20:00:00+00:00,2011-09-12 13:31:00+00:00,33.0112,104126.031561,"[{'amount': 100, 'last_sale_price': 50.984305, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000317131733572,47.8730341,99027.6010614,5065.4193,[]
2011-09-13 20:00:00,51.612313,0.0,99027.6010614,5161.2313,43.57790761,[],2011-09-13 20:00:00+00:00,2011-09-13 13:31:00+00:00,62.8008,104188.832361,"[{'amount': 100, 'last_sale_price': 51.612313, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000603122956462,47.92967587,99027.6010614,5098.4305,[]
2011-09-14 20:00:00,52.240331,0.0,99027.6010614,5224.0331,43.6365980367,[],2011-09-14 20:00:00+00:00,2011-09-14 13:31:00+00:00,62.8018,104251.634161,"[{'amount': 100, 'last_sale_price': 52.240331, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000602769016377,47.98147341,99027.6010614,5161.2313,[]
2011-09-15 20:00:00,52.731461,0.0,99027.6010614,5273.1461,43.6962411933,[],2011-09-15 20:00:00+00:00,2011-09-15 13:31:00+00:00,49.113,104300.747161,"[{'amount': 100, 'last_sale_price': 52.731460999999996, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000471100528976,48.03508243,99027.6010614,5224.0331,[]
2011-09-16 20:00:00,53.743266,0.0,99027.6010614,5374.3266,43.7602992533,[],2011-09-16 20:00:00+00:00,2011-09-16 13:31:00+00:00,101.1805,104401.927661,"[{'amount': 100, 'last_sale_price': 53.743266000000006, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000970084134138,48.10228503,99027.6010614,5273.1461,[]
2011-09-19 20:00:00,55.236805,0.0,99027.6010614,5523.6805,43.83179144,[],2011-09-19 20:00:00+00:00,2011-09-19 13:31:00+00:00,149.3539,104551.281561,"[{'amount': 100, 'last_sale_price': 55.236805000000004, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.00143056649763,48.18478532,99027.6010614,5374.3266,[]
2011-09-20 20:00:00,55.48103,0.0,99027.6010614,5548.103,43.9036817133,[],2011-09-20 20:00:00+00:00,2011-09-20 13:31:00+00:00,24.4225,104575.704061,"[{'amount': 100, 'last_sale_price': 55.481030000000004, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000233593502014,48.2742904,99027.6010614,5523.6805,[]
2011-09-21 20:00:00,55.305235,0.0,99027.6010614,5530.5235,43.9755585633,[],2011-09-21 20:00:00+00:00,2011-09-21 13:31:00+00:00,-17.5795,104558.124561,"[{'amount': 100, 'last_sale_price': 55.305234999999996, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.000168103099642,48.35750187,99027.6010614,5548.103,[]
2011-09-22 20:00:00,53.920394,0.0,99027.6010614,5392.0394,44.0435125933,[],2011-09-22 20:00:00+00:00,2011-09-22 13:31:00+00:00,-138.4841,104419.640461,"[{'amount': 100, 'last_sale_price': 53.920393999999995, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.00132447000729,48.43203125,99027.6010614,5530.5235,[]
2011-09-23 20:00:00,54.253183,0.0,99027.6010614,5425.3183,44.1145082567,[],2011-09-23 20:00:00+00:00,2011-09-23 13:31:00+00:00,33.2789,104452.919361,"[{'amount': 100, 'last_sale_price': 54.25318299999999, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000318703453229,48.50731204,99027.6010614,5392.0394,[]
