Date,High,Open,Low,Close
2014-01-03 02:17:00+00:00,1.36562,1.36572,1.3656,1.36567
2014-01-03 02:18:00+00:00,1.36565,1.36586,1.3656,1.36585
2014-01-03 02:19:00+00:00,1.36583,1.36592,1.36579,1.36587
2014-01-03 02:20:00+00:00,1.36583,1.36583,1.36559,1.36559
2014-01-03 02:21:00+00:00,1.36558,1.36558,1.3655,1.36551
2014-01-03 02:22:00+00:00,1.36552,1.36555,1.36537,1.36538
2014-01-03 02:23:00+00:00,1.36539,1.36557,1.36539,1.36557
2014-01-03 02:24:00+00:00,1.36559,1.36562,1.36553,1.36555
2014-01-03 02:25:00+00:00,1.36554,1.3658,1.36551,1.36562
2014-01-03 02:26:00+00:00,1.36561,1.36576,1.3656,1.36575
2014-01-03 02:27:00+00:00,1.36574,1.3658,1.36569,1.36574
2014-01-03 02:28:00+00:00,1.36578,1.36612,1.36578,1.366
2014-01-03 02:29:00+00:00,1.36601,1.36603,1.36576,1.36603
2014-01-03 02:30:00+00:00,1.36601,1.36604,1.36562,1.36563
2014-01-03 02:31:00+00:00,1.36559,1.36592,1.36559,1.36582
2014-01-03 02:32:00+00:00,1.3658,1.3658,1.3656,1.36568
2014-01-03 02:33:00+00:00,1.36567,1.36582,1.36565,1.36573
2014-01-03 02:34:00+00:00,1.36575,1.36582,1.36572,1.36574
2014-01-03 02:35:00+00:00,1.36577,1.36584,1.36572,1.36583
2014-01-03 02:36:00+00:00,1.36582,1.36596,1.36582,1.36594
2014-01-03 02:37:00+00:00,1.36592,1.36599,1.36592,1.36598
2014-01-03 02:38:00+00:00,1.36601,1.36608,1.36567,1.36569
2014-01-03 02:39:00+00:00,1.36568,1.36582,1.36564,1.36572
2014-01-03 02:40:00+00:00,1.36574,1.36586,1.36572,1.36573
2014-01-03 02:41:00+00:00,1.36574,1.36574,1.3656,1.3656
2014-01-03 02:42:00+00:00,1.36561,1.36564,1.3656,1.36564
2014-01-03 02:43:00+00:00,1.36566,1.36589,1.36566,1.36589
2014-01-03 02:44:00+00:00,1.36588,1.36589,1.36572,1.36575
2014-01-03 02:45:00+00:00,1.36572,1.36579,1.3657,1.36571
2014-01-03 02:46:00+00:00,1.36572,1.36572,1.36532,1.36541
